position,token,potential,is_cliff
0,Pat,0.734375,0
1,ricia,0.671875,0
2,'s,0.71875,0
3, first,0.8125,0
4, exam,0.796875,0
5, score,0.765625,0
6, is,0.6875,0
7, **,0.796875,0
8,6,0.625,0
9,9,0.75,0
10,**,0.796875,0
11,".

",0.859375,0
12,She,0.875,0
13, takes,0.90625,0
14, two,0.953125,0
15, more,0.984375,0
16, exams,0.96875,0
17,":

",0.875,0
18,-,0.875,0
19, First,0.84375,0
20, exam,0.796875,0
21,:,0.90625,0
22, ,0.9375,0
23,7,0.90625,0
24,5,0.890625,0
25,"  
",0.796875,0
26,-,0.859375,0
27, Second,0.75,0
28, exam,0.8125,0
29,:,0.671875,0
30, ,0.8125,0
31,7,0.25,0
32,5,0.3125,1
33, (,0.28125,0
34,scores,0.046875,0
35, ,0.03125,0
36,3,0.09375,0
37, points,0.0625,0
38, more,0.03125,0
39, on,0.03125,0
40, the,0.109375,0
41, last,0.03125,0
42, exam,0.015625,0
43,")

",0.0625,0
44,So,0.171875,0
45,",",0.15625,0
46, her,0.0625,0
47, total,0.09375,0
48, score,0.0,0
49, is,0.0,0
50,":

",0.0,0
51,$$,0.0,0
52,"
",0.0,0
53,6,0.0,0
54,9,0.0,0
55, +,0.0,0
56, ,0.0,0
57,7,0.0,0
58,5,0.0,0
59, +,0.0,0
60, ,0.0,0
61,7,0.0,0
62,5,0.0,0
63, =,0.0,0
64, ,0.0,0
65,2,0.0,0
66,1,0.0,0
67,9,0.0,0
68,"
",0.0,0
69,$$,0.0,0
70,"

",0.0,0
71,She,0.0,0
72, has,0.0,0
73, taken,0.0,0
74, **,0.0,0
75,3,0.0,0
76,**,0.0,0
77, exams,0.0,0
78, in,0.0,0
79, total,0.0,0
80,".

",0.0,0
81,Her,0.0,0
82, average,0.0,0
83, score,0.0,0
84, is,0.0,0
85,":

",0.0,0
86,$$,0.0,0
87,"
",0.0,0
88,\,0.0,0
89,frac,0.0,0
90,{,0.0,0
91,2,0.0,0
92,1,0.0,0
93,9,0.0,0
94,}{,0.0,0
95,3,0.0,0
96,},0.0,0
97, =,0.0,0
98, ,0.0,0
99,7,0.0,0
100,3,0.0,0
101,"
",0.0,0
102,$$,0.0,0
103,"

",0.0,0
104,###,0.0,0
105, Final,0.0,0
106, Answer,0.0,0
107,":
",0.0,0
108,$$,0.0,0
109,"
",0.0,0
110,\,0.0,0
111,boxed,0.0,0
112,{,0.0,0
113,7,0.0,0
114,3,0.0,0
115,"}
",0.0,0
116,$$,,0
