model,dataset,line_type,k,pass_at_k,n_cliff_tokens
Qwen3-8B,gsm1k,del_success,1,0.734375,9
Qwen3-8B,gsm1k,del_success,2,0.9236111111111112,9
Qwen3-8B,gsm1k,del_success,4,0.9927719964241646,9
Qwen3-8B,gsm1k,del_success,8,0.9999445932359932,9
Qwen3-8B,gsm1k,del_success,16,0.9999999997490855,9
Qwen3-8B,gsm1k,del_success,32,1.0,9
Qwen3-8B,gsm1k,del_success,64,1.0,9
Qwen3-8B,gsm1k,keep_success,1,0.6953125,9
Qwen3-8B,gsm1k,keep_success,2,0.8777281746031746,9
Qwen3-8B,gsm1k,keep_success,4,0.9751839855455667,9
Qwen3-8B,gsm1k,keep_success,8,0.9991088532234885,9
Qwen3-8B,gsm1k,keep_success,16,0.9999996924016137,9
Qwen3-8B,gsm1k,keep_success,32,1.0,9
Qwen3-8B,gsm1k,keep_success,64,1.0,9
Qwen3-8B,gsm1k,del_failure,1,0.41517857142857145,9
Qwen3-8B,gsm1k,del_failure,2,0.6502267573696147,9
Qwen3-8B,gsm1k,del_failure,4,0.8639588437172858,9
Qwen3-8B,gsm1k,del_failure,8,0.9717774328567034,9
Qwen3-8B,gsm1k,del_failure,16,0.9982677321939614,9
Qwen3-8B,gsm1k,del_failure,32,0.9999985739881311,9
Qwen3-8B,gsm1k,del_failure,64,1.0,9
Qwen3-8B,gsm1k,keep_failure,1,0.2611607142857143,9
Qwen3-8B,gsm1k,keep_failure,2,0.41695011337868476,9
Qwen3-8B,gsm1k,keep_failure,4,0.571001602650579,9
Qwen3-8B,gsm1k,keep_failure,8,0.6659551333458318,9
Qwen3-8B,gsm1k,keep_failure,16,0.705393721319304,9
Qwen3-8B,gsm1k,keep_failure,32,0.7141402152618882,9
Qwen3-8B,gsm1k,keep_failure,64,0.7142857142857143,9
Qwen3-8B,math500,del_success,1,0.6865808823529411,78
Qwen3-8B,math500,del_success,2,0.8834617180205413,78
Qwen3-8B,math500,del_success,4,0.9776705632014836,78
Qwen3-8B,math500,del_success,8,0.9988347734343873,78
Qwen3-8B,math500,del_success,16,0.9999977943401965,78
