cliff_uid,model,taxonomy_type,cell_label,sum_p_cliff
aime25::16_path_0::263,Qwen3-8B,AG,high-H + greedy,0.9890056617237134
aime25::21_path_0::545,Qwen3-8B,AG,high-H + greedy,0.9687584206587951
aime25::21_path_0::1404,Qwen3-8B,AG,high-H + greedy,0.35495988556639363
aime25::21_path_0::1632,Qwen3-8B,DF,low-H + greedy,0.9999999755779109
aime25::2_path_0::3192,Qwen3-8B,DF,low-H + greedy,1.0000000517274534
aime25::2_path_0::3757,Qwen3-8B,AG,high-H + greedy,0.6513551067311601
aime25::4_path_0::681,Qwen3-8B,AG,high-H + greedy,0.6790256782740657
aime25::8_path_0::46,Qwen3-8B,DF,low-H + greedy,0.9999931497322131
aime25::8_path_0::330,Qwen3-8B,AG,high-H + greedy,0.4409471040923269
gsm1k::GSM1K_1010_path_0::253,Qwen3-8B,AG,high-H + greedy,1.0000000100514401
gsm1k::GSM1K_1116_path_0::236,Qwen3-8B,AG,high-H + greedy,0.6177890893373555
gsm1k::GSM1K_114_path_0::275,Qwen3-8B,AG,high-H + greedy,0.6025381239796838
gsm1k::GSM1K_13_path_0::247,Qwen3-8B,AG,high-H + greedy,0.5203414222906504
gsm1k::GSM1K_13_path_0::665,Qwen3-8B,SS,high-H + non-greedy,0.39290327911813183
gsm1k::GSM1K_318_path_0::11,Qwen3-8B,DF,low-H + greedy,0.9998078720397915
gsm1k::GSM1K_859_path_0::128,Qwen3-8B,SS,high-H + non-greedy,0.18571449549834362
gsm1k::GSM1K_859_path_0::167,Qwen3-8B,DF,low-H + greedy,1.0000000000003695
gsm1k::GSM1K_859_path_0::225,Qwen3-8B,SS,high-H + non-greedy,0.45136478899948435
math500::test/algebra/1547.json_path_0::232,Qwen3-8B,DF,low-H + greedy,1.0000000000000029
math500::test/algebra/2023.json_path_0::387,Qwen3-8B,DF,low-H + greedy,0.9999998808369507
math500::test/algebra/2780.json_path_0::316,Qwen3-8B,SS,high-H + non-greedy,0.3637573868210862
math500::test/counting_and_probability/1003.json_path_0::143,Qwen3-8B,AG,high-H + greedy,0.970998313930942
math500::test/counting_and_probability/1003.json_path_0::240,Qwen3-8B,AG,high-H + greedy,0.9595846039692284
math500::test/counting_and_probability/1003.json_path_0::315,Qwen3-8B,SS,high-H + non-greedy,0.2529040460689928
math500::test/counting_and_probability/1003.json_path_0::359,Qwen3-8B,DF,low-H + greedy,0.9999172819913081
math500::test/counting_and_probability/1003.json_path_0::498,Qwen3-8B,AG,high-H + greedy,0.44311716628181436
math500::test/counting_and_probability/1003.json_path_0::784,Qwen3-8B,AG,high-H + greedy,0.6875633937297538
math500::test/counting_and_probability/1003.json_path_0::1160,Qwen3-8B,AG,high-H + greedy,0.3280399348285907
math500::test/counting_and_probability/1003.json_path_0::1265,Qwen3-8B,DF,low-H + greedy,0.999999973689517
math500::test/counting_and_probability/1003.json_path_0::1459,Qwen3-8B,DF,low-H + greedy,1.000000000007425
math500::test/geometry/465.json_path_0::1556,Qwen3-8B,DF,low-H + greedy,0.9999992847447459
math500::test/geometry/465.json_path_0::1711,Qwen3-8B,AG,high-H + greedy,0.2840736691442766
math500::test/geometry/65.json_path_0::412,Qwen3-8B,SS,high-H + non-greedy,0.3426816106805457
math500::test/geometry/65.json_path_0::460,Qwen3-8B,SS,high-H + non-greedy,0.37563647544851336
math500::test/geometry/65.json_path_0::853,Qwen3-8B,AG,high-H + greedy,0.44361252775098275
math500::test/geometry/686.json_path_0::88,Qwen3-8B,DF,low-H + greedy,0.9999956470350705
