cliff_uid,model,taxonomy_type,cell_label,sum_p_cliff
aime25::16_path_0::1097,Qwen3-4B,AG,high-H + greedy,0.944445333294111
aime25::17_path_0::311,Qwen3-4B,SS,high-H + non-greedy,0.31051872303770633
aime25::17_path_0::327,Qwen3-4B,DF,low-H + greedy,0.9999951212271887
aime25::17_path_0::358,Qwen3-4B,AG,high-H + greedy,0.5620319946415292
aime25::1_path_0::684,Qwen3-4B,SS,high-H + non-greedy,0.4378235417062179
aime25::1_path_0::840,Qwen3-4B,AG,high-H + greedy,0.41882829056568416
aime25::21_path_0::203,Qwen3-4B,DF,low-H + greedy,1.0000000020448905
aime25::21_path_0::316,Qwen3-4B,SS,high-H + non-greedy,0.34584437579963506
aime25::8_path_0::305,Qwen3-4B,AG,high-H + greedy,0.3207428490048138
gsm1k::GSM1K_178_path_0::287,Qwen3-4B,DF,low-H + greedy,0.9999597088831099
gsm1k::GSM1K_178_path_0::460,Qwen3-4B,AG,high-H + greedy,0.5000002564869077
gsm1k::GSM1K_178_path_0::479,Qwen3-4B,AG,high-H + greedy,0.6224538194854119
gsm1k::GSM1K_209_path_0::189,Qwen3-4B,DF,low-H + greedy,1.0
gsm1k::GSM1K_209_path_0::300,Qwen3-4B,AG,high-H + greedy,0.4328242844457743
gsm1k::GSM1K_457_path_0::275,Qwen3-4B,AG,high-H + greedy,0.9827545239231775
gsm1k::GSM1K_457_path_0::524,Qwen3-4B,AG,high-H + greedy,0.6619038289301882
gsm1k::GSM1K_775_path_0::70,Qwen3-4B,AG,high-H + greedy,0.6223569938901469
gsm1k::GSM1K_775_path_0::138,Qwen3-4B,DF,low-H + greedy,0.9999542257282243
gsm1k::GSM1K_777_path_0::96,Qwen3-4B,DF,low-H + greedy,0.9998080569396801
gsm1k::GSM1K_778_path_0::331,Qwen3-4B,SS,high-H + non-greedy,0.2621482498616971
gsm1k::GSM1K_778_path_0::549,Qwen3-4B,DF,low-H + greedy,1.0
gsm1k::GSM1K_778_path_0::568,Qwen3-4B,AG,high-H + greedy,0.8837883874084705
gsm1k::GSM1K_778_path_0::625,Qwen3-4B,DF,low-H + greedy,0.9985742943529775
math500::test/counting_and_probability/10.json_path_0::496,Qwen3-4B,SS,high-H + non-greedy,0.502970220047263
math500::test/counting_and_probability/1003.json_path_0::8,Qwen3-4B,AG,high-H + greedy,0.6694554919943692
math500::test/counting_and_probability/1003.json_path_0::78,Qwen3-4B,DF,low-H + greedy,1.0000000000001543
math500::test/counting_and_probability/1003.json_path_0::428,Qwen3-4B,DF,low-H + greedy,1.0000000000889417
math500::test/counting_and_probability/134.json_path_0::154,Qwen3-4B,AG,high-H + greedy,0.7247354711463425
math500::test/counting_and_probability/134.json_path_0::181,Qwen3-4B,SS,high-H + non-greedy,0.3066017599271307
math500::test/geometry/686.json_path_0::19,Qwen3-4B,AG,high-H + greedy,0.828837500537002
math500::test/intermediate_algebra/121.json_path_0::185,Qwen3-4B,DF,low-H + greedy,1.000000000681714
math500::test/intermediate_algebra/121.json_path_0::207,Qwen3-4B,DF,low-H + greedy,0.9988294371312815
math500::test/intermediate_algebra/121.json_path_0::209,Qwen3-4B,DF,low-H + greedy,0.9999984502816872
math500::test/intermediate_algebra/121.json_path_0::416,Qwen3-4B,DF,low-H + greedy,0.9990889253925812
math500::test/intermediate_algebra/121.json_path_0::533,Qwen3-4B,DF,low-H + greedy,0.9999998808104882
math500::test/intermediate_algebra/121.json_path_0::988,Qwen3-4B,SS,high-H + non-greedy,0.452775043339568
math500::test/intermediate_algebra/121.json_path_0::1291,Qwen3-4B,AG,high-H + greedy,0.955929684762395
math500::test/intermediate_algebra/121.json_path_0::1883,Qwen3-4B,AG,high-H + greedy,0.382404400294761
math500::test/intermediate_algebra/121.json_path_0::2013,Qwen3-4B,DF,low-H + greedy,0.999998569493161
math500::test/intermediate_algebra/128.json_path_0::164,Qwen3-4B,SS,high-H + non-greedy,0.2667489373671471
math500::test/intermediate_algebra/128.json_path_0::174,Qwen3-4B,AG,high-H + greedy,0.6012826720746337
math500::test/intermediate_algebra/128.json_path_0::253,Qwen3-4B,AG,high-H + greedy,0.5142951128289848
math500::test/intermediate_algebra/1566.json_path_0::1106,Qwen3-4B,SS,high-H + non-greedy,0.3794336704321537
math500::test/intermediate_algebra/1566.json_path_0::1123,Qwen3-4B,AG,high-H + greedy,0.5664191387751664
math500::test/intermediate_algebra/2152.json_path_0::65,Qwen3-4B,DF,low-H + greedy,1.0
math500::test/intermediate_algebra/2152.json_path_0::326,Qwen3-4B,DF,low-H + greedy,0.9998977288910255
math500::test/intermediate_algebra/2152.json_path_0::370,Qwen3-4B,AG,high-H + greedy,0.3110471357314707
math500::test/intermediate_algebra/2152.json_path_0::389,Qwen3-4B,AG,high-H + greedy,0.36086961903586284
math500::test/intermediate_algebra/2152.json_path_0::398,Qwen3-4B,SS,high-H + non-greedy,0.3289582248292907
math500::test/intermediate_algebra/2152.json_path_0::435,Qwen3-4B,AG,high-H + greedy,0.9562746479506261
math500::test/intermediate_algebra/2152.json_path_0::526,Qwen3-4B,DF,low-H + greedy,0.9999999716323942
math500::test/intermediate_algebra/2152.json_path_0::935,Qwen3-4B,DF,low-H + greedy,1.0
math500::test/intermediate_algebra/232.json_path_0::361,Qwen3-4B,DF,low-H + greedy,0.9999417127016879
math500::test/intermediate_algebra/232.json_path_0::537,Qwen3-4B,SS,high-H + non-greedy,0.3399416140378635
math500::test/intermediate_algebra/232.json_path_0::650,Qwen3-4B,DF,low-H + greedy,1.0000000001857128
math500::test/intermediate_algebra/955.json_path_0::235,Qwen3-4B,AG,high-H + greedy,0.26243782455417797
math500::test/intermediate_algebra/955.json_path_0::291,Qwen3-4B,DF,low-H + greedy,1.0
math500::test/intermediate_algebra/955.json_path_0::1052,Qwen3-4B,DF,low-H + greedy,0.9999997639722303
math500::test/number_theory/516.json_path_0::149,Qwen3-4B,AG,high-H + greedy,0.7425150059387311
math500::test/number_theory/753.json_path_0::162,Qwen3-4B,DF,low-H + greedy,1.0000000000004317
math500::test/number_theory/753.json_path_0::248,Qwen3-4B,DF,low-H + greedy,1.0000000001691898
math500::test/prealgebra/2066.json_path_0::200,Qwen3-4B,AG,high-H + greedy,0.5866953448532326
math500::test/prealgebra/2066.json_path_0::273,Qwen3-4B,AG,high-H + greedy,0.7564708967877251
math500::test/precalculus/1056.json_path_0::77,Qwen3-4B,DF,low-H + greedy,0.9999979735463037
math500::test/precalculus/1056.json_path_0::89,Qwen3-4B,AG,high-H + greedy,0.8822390705203118
math500::test/precalculus/1056.json_path_0::361,Qwen3-4B,DF,low-H + greedy,0.9955123305276801
math500::test/precalculus/1056.json_path_0::843,Qwen3-4B,SS,high-H + non-greedy,0.31597307854239354
math500::test/precalculus/1172.json_path_0::260,Qwen3-4B,DF,low-H + greedy,1.0000000000002296
math500::test/precalculus/1172.json_path_0::493,Qwen3-4B,SS,high-H + non-greedy,0.43782209691461776
math500::test/precalculus/1313.json_path_0::30,Qwen3-4B,DF,low-H + greedy,1.0000000000004752
math500::test/precalculus/681.json_path_0::122,Qwen3-4B,DF,low-H + greedy,0.9999897481064006
math500::test/precalculus/990.json_path_0::126,Qwen3-4B,DF,low-H + greedy,0.999838378333178
