cliff_uid,model,taxonomy_type,cell_label,sum_p_cliff
aime25::1_path_0::284,Qwen3-0.6B,DF,low-H + greedy,0.9997248333786961
aime25::9_path_0::319,Qwen3-0.6B,SS,high-H + non-greedy,0.3957842650749085
aime25::9_path_0::340,Qwen3-0.6B,DF,low-H + greedy,0.9999986169388837
aime25::9_path_0::436,Qwen3-0.6B,AG,high-H + greedy,0.904613766232311
gsm1k::GSM1K_1010_path_0::207,Qwen3-0.6B,SS,high-H + non-greedy,0.4581696787999385
gsm1k::GSM1K_1010_path_0::248,Qwen3-0.6B,DF,low-H + greedy,1.0000000268561158
gsm1k::GSM1K_1010_path_0::289,Qwen3-0.6B,AG,high-H + greedy,0.440372621376874
gsm1k::GSM1K_1130_path_0::39,Qwen3-0.6B,AG,high-H + greedy,0.7556350059647999
gsm1k::GSM1K_114_path_0::53,Qwen3-0.6B,AG,high-H + greedy,0.5962363936201844
gsm1k::GSM1K_114_path_0::60,Qwen3-0.6B,AG,high-H + greedy,0.5084966500792155
gsm1k::GSM1K_1161_path_0::188,Qwen3-0.6B,AG,high-H + greedy,0.4999802753836906
gsm1k::GSM1K_1161_path_0::269,Qwen3-0.6B,AG,high-H + greedy,0.5060180062356956
gsm1k::GSM1K_186_path_0::32,Qwen3-0.6B,SS,high-H + non-greedy,0.3378852601609187
gsm1k::GSM1K_186_path_0::35,Qwen3-0.6B,AG,high-H + greedy,0.2373530481130429
gsm1k::GSM1K_198_path_0::265,Qwen3-0.6B,AG,high-H + greedy,0.5702434676677987
gsm1k::GSM1K_198_path_0::272,Qwen3-0.6B,AG,high-H + greedy,0.6365404022663765
gsm1k::GSM1K_255_path_0::86,Qwen3-0.6B,DF,low-H + greedy,0.9999999702330721
gsm1k::GSM1K_326_path_0::26,Qwen3-0.6B,SS,high-H + non-greedy,0.34152208593419203
gsm1k::GSM1K_326_path_0::27,Qwen3-0.6B,SS,high-H + non-greedy,0.5231737136700293
gsm1k::GSM1K_334_path_0::64,Qwen3-0.6B,SS,high-H + non-greedy,0.30011504485833024
gsm1k::GSM1K_334_path_0::78,Qwen3-0.6B,SS,high-H + non-greedy,0.4336819468859706
gsm1k::GSM1K_393_path_0::272,Qwen3-0.6B,SS,high-H + non-greedy,0.34185674227688767
gsm1k::GSM1K_393_path_0::280,Qwen3-0.6B,SS,high-H + non-greedy,0.18857563066468722
gsm1k::GSM1K_407_path_0::102,Qwen3-0.6B,DF,low-H + greedy,0.9987263606592035
gsm1k::GSM1K_440_path_0::116,Qwen3-0.6B,AG,high-H + greedy,0.445265561555075
gsm1k::GSM1K_440_path_0::121,Qwen3-0.6B,AG,high-H + greedy,0.43141565845419116
gsm1k::GSM1K_447_path_0::67,Qwen3-0.6B,AG,high-H + greedy,0.4992001511119406
gsm1k::GSM1K_447_path_0::77,Qwen3-0.6B,DF,low-H + greedy,0.999849465346468
gsm1k::GSM1K_447_path_0::161,Qwen3-0.6B,AG,high-H + greedy,0.5628609740105263
gsm1k::GSM1K_451_path_0::172,Qwen3-0.6B,AG,high-H + greedy,0.4158562571989356
gsm1k::GSM1K_451_path_0::357,Qwen3-0.6B,AG,high-H + greedy,0.8130136775500096
gsm1k::GSM1K_451_path_0::371,Qwen3-0.6B,AG,high-H + greedy,0.6791722908501593
gsm1k::GSM1K_538_path_0::193,Qwen3-0.6B,AG,high-H + greedy,0.50435824084021
gsm1k::GSM1K_538_path_0::203,Qwen3-0.6B,SS,high-H + non-greedy,0.24098888176445668
gsm1k::GSM1K_541_path_0::105,Qwen3-0.6B,DF,low-H + greedy,0.998298373813739
gsm1k::GSM1K_541_path_0::156,Qwen3-0.6B,SS,high-H + non-greedy,0.3591980207206079
gsm1k::GSM1K_541_path_0::159,Qwen3-0.6B,AG,high-H + greedy,0.5414327663897772
gsm1k::GSM1K_54_path_0::137,Qwen3-0.6B,SS,high-H + non-greedy,0.3694189832899286
gsm1k::GSM1K_54_path_0::138,Qwen3-0.6B,AG,high-H + greedy,0.43912586895164746
gsm1k::GSM1K_552_path_0::260,Qwen3-0.6B,SS,high-H + non-greedy,0.3994798956389163
gsm1k::GSM1K_592_path_0::149,Qwen3-0.6B,DF,low-H + greedy,0.9999861490202709
gsm1k::GSM1K_592_path_0::150,Qwen3-0.6B,SS,high-H + non-greedy,0.26236625744807407
gsm1k::GSM1K_592_path_0::208,Qwen3-0.6B,SS,high-H + non-greedy,0.6049680783352334
gsm1k::GSM1K_65_path_0::54,Qwen3-0.6B,SS,high-H + non-greedy,0.6000246691146048
gsm1k::GSM1K_664_path_0::32,Qwen3-0.6B,AG,high-H + greedy,0.5359215947528877
gsm1k::GSM1K_747_path_0::57,Qwen3-0.6B,AG,high-H + greedy,0.9663088770870398
gsm1k::GSM1K_758_path_0::72,Qwen3-0.6B,SS,high-H + non-greedy,0.46835685932199145
gsm1k::GSM1K_758_path_0::183,Qwen3-0.6B,AG,high-H + greedy,0.5990366534223595
gsm1k::GSM1K_775_path_0::101,Qwen3-0.6B,SS,high-H + non-greedy,0.2707937352494699
gsm1k::GSM1K_817_path_0::77,Qwen3-0.6B,AG,high-H + greedy,0.9422840924740168
gsm1k::GSM1K_817_path_0::87,Qwen3-0.6B,DF,low-H + greedy,0.9974982029717206
gsm1k::GSM1K_817_path_0::148,Qwen3-0.6B,SS,high-H + non-greedy,0.3299545840944574
math500::test/algebra/1072.json_path_0::124,Qwen3-0.6B,DF,low-H + greedy,0.996987358657757
math500::test/algebra/1078.json_path_0::255,Qwen3-0.6B,DF,low-H + greedy,0.9999999430010049
math500::test/algebra/1143.json_path_0::407,Qwen3-0.6B,AG,high-H + greedy,0.5120927291997344
math500::test/algebra/224.json_path_0::14,Qwen3-0.6B,AG,high-H + greedy,0.5374112188540299
math500::test/algebra/224.json_path_0::29,Qwen3-0.6B,DF,low-H + greedy,0.9999996414773267
math500::test/algebra/2593.json_path_0::116,Qwen3-0.6B,AG,high-H + greedy,0.5312161357636773
math500::test/algebra/893.json_path_0::19,Qwen3-0.6B,DF,low-H + greedy,0.9999997196101347
math500::test/algebra/893.json_path_0::192,Qwen3-0.6B,DF,low-H + greedy,0.9999998239725716
math500::test/algebra/893.json_path_0::273,Qwen3-0.6B,DF,low-H + greedy,0.9999991662217977
math500::test/algebra/893.json_path_0::290,Qwen3-0.6B,DF,low-H + greedy,0.9999999257115706
math500::test/geometry/283.json_path_0::580,Qwen3-0.6B,SS,high-H + non-greedy,0.34864276618243367
