cliff_uid,model,taxonomy_type,cell_label,sum_p_cliff
aime25::3_path_0::73,gemma-3-4b-it,SS,high-H + non-greedy,0.010986941583869245
aime25::6_path_0::418,gemma-3-4b-it,SS,high-H + non-greedy,0.13076667428220498
aime25::9_path_0::157,gemma-3-4b-it,AG,high-H + greedy,0.5029943237566251
gsm1k::GSM1K_1010_path_0::51,gemma-3-4b-it,SS,high-H + non-greedy,0.23071993754049042
gsm1k::GSM1K_1093_path_0::96,gemma-3-4b-it,DF,low-H + greedy,1.0
gsm1k::GSM1K_1197_path_0::433,gemma-3-4b-it,SS,high-H + non-greedy,0.21701746747703238
gsm1k::GSM1K_146_path_0::231,gemma-3-4b-it,DF,low-H + greedy,1.0000000010840842
gsm1k::GSM1K_146_path_0::393,gemma-3-4b-it,DF,low-H + greedy,1.000000000043682
gsm1k::GSM1K_146_path_0::475,gemma-3-4b-it,DF,low-H + greedy,1.000000000065924
gsm1k::GSM1K_146_path_0::572,gemma-3-4b-it,SS,high-H + non-greedy,0.36619729121799444
gsm1k::GSM1K_161_path_0::15,gemma-3-4b-it,AG,high-H + greedy,0.9525740412139765
gsm1k::GSM1K_161_path_0::988,gemma-3-4b-it,DF,low-H + greedy,0.9994902510946087
gsm1k::GSM1K_209_path_0::211,gemma-3-4b-it,DF,low-H + greedy,1.0
gsm1k::GSM1K_209_path_0::375,gemma-3-4b-it,DF,low-H + greedy,0.9988291875555856
gsm1k::GSM1K_209_path_0::558,gemma-3-4b-it,AG,high-H + greedy,0.9902729666813972
gsm1k::GSM1K_209_path_0::712,gemma-3-4b-it,DF,low-H + greedy,0.9999645961639951
gsm1k::GSM1K_209_path_0::818,gemma-3-4b-it,DF,low-H + greedy,1.0000000000005385
gsm1k::GSM1K_209_path_0::863,gemma-3-4b-it,AG,high-H + greedy,0.5006403871699663
gsm1k::GSM1K_435_path_0::141,gemma-3-4b-it,SS,high-H + non-greedy,0.2227018813270114
gsm1k::GSM1K_435_path_0::445,gemma-3-4b-it,DF,low-H + greedy,0.9999967824777681
gsm1k::GSM1K_541_path_0::166,gemma-3-4b-it,DF,low-H + greedy,1.000000000000039
gsm1k::GSM1K_542_path_0::669,gemma-3-4b-it,DF,low-H + greedy,0.9999977353288265
gsm1k::GSM1K_542_path_0::781,gemma-3-4b-it,AG,high-H + greedy,0.468064864604329
gsm1k::GSM1K_542_path_0::887,gemma-3-4b-it,AG,high-H + greedy,0.9819047871159565
gsm1k::GSM1K_542_path_0::933,gemma-3-4b-it,AG,high-H + greedy,0.5461612645248869
gsm1k::GSM1K_546_path_0::7,gemma-3-4b-it,AG,high-H + greedy,0.6791325483467648
gsm1k::GSM1K_546_path_0::280,gemma-3-4b-it,DF,low-H + greedy,0.9999997617825892
gsm1k::GSM1K_546_path_0::307,gemma-3-4b-it,SS,high-H + non-greedy,0.09534947796292241
gsm1k::GSM1K_61_path_0::265,gemma-3-4b-it,AG,high-H + greedy,0.4989474557864863
gsm1k::GSM1K_740_path_0::11,gemma-3-4b-it,AG,high-H + greedy,0.5200579501334306
gsm1k::GSM1K_740_path_0::195,gemma-3-4b-it,DF,low-H + greedy,0.9999985694905718
gsm1k::GSM1K_740_path_0::514,gemma-3-4b-it,SS,high-H + non-greedy,0.32038633811935807
gsm1k::GSM1K_859_path_0::24,gemma-3-4b-it,DF,low-H + greedy,1.0000000000000935
math500::test/algebra/1143.json_path_0::146,gemma-3-4b-it,SS,high-H + non-greedy,0.26894144643384116
math500::test/algebra/1143.json_path_0::172,gemma-3-4b-it,AG,high-H + greedy,0.35492138487500324
