model_source,model_eval,dataset,data_idx,cliff_position,taxonomy_type,n_cliff_tokens,cpm_source,cpm_eval,delta_cpm
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,aime25,9_path_0,471,AG,4,0.9052930296666544,0.8614752660047701,-0.04381776366188428
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1010_path_0,22,SS,6,0.32678596296029366,0.021227027190827818,-0.30555893576946586
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1022_path_0,39,AG,2,0.46750751665494406,0.3603054721585214,-0.10720204449642268
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1093_path_0,160,AG,3,0.334996951782941,0.23486389461281754,-0.10013305717012344
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1130_path_0,24,SS,6,0.42408390629457854,0.0006510349160314749,-0.42343287137854707
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1130_path_0,37,SS,4,0.372701469425991,0.27021715172288635,-0.10248431770310468
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_114_path_0,50,SS,6,0.13987345783619265,0.3982887323355383,0.25841527449934565
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1161_path_0,206,AG,9,0.707526437370123,0.4573730012190688,-0.2501534361510542
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1161_path_0,213,AG,7,0.7055772217642312,0.8168454010209352,0.11126817925670396
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1161_path_0,227,SS,17,0.06859760503652536,0.13944310250312894,0.07084549746660358
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1195_path_0,17,AG,1,0.9031924888964631,0.9452041069735828,0.04201161807711973
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1195_path_0,127,AG,3,0.5295102981693676,0.2935323399196728,-0.23597795824969475
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1195_path_0,150,SS,19,0.32291574574123005,0.0,-0.32291574574123005
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_13_path_0,72,AG,1,0.25048672693188817,0.51564031184958,0.26515358491769186
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_13_path_0,91,SS,13,0.1498194768103231,0.5249079787218011,0.37508850191147797
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_13_path_0,126,SS,7,0.2949670833375752,0.41092033882847107,0.11595325549089586
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_142_path_0,335,SS,9,0.37739461964737686,0.3208592323645089,-0.056535387282867944
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_224_path_0,115,SS,1,0.18692889275746255,0.7478133386880075,0.5608844459305449
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_326_path_0,54,SS,18,0.532019836551795,0.5754189490157248,0.0433991124639298
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_350_path_0,56,SS,10,0.3263862017537202,0.5130238607443561,0.18663765899063595
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_350_path_0,70,DF,20,0.9999999981790183,0.9999407628379937,-5.923534102458827e-05
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_393_path_0,145,SS,6,0.40466409884004373,0.1602984620589958,-0.24436563678104792
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_432_path_0,139,SS,8,0.32887967160588305,0.006630198917563411,-0.32224947268831966
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_435_path_0,130,SS,6,0.07525324861269002,0.34985719784893904,0.27460394923624903
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_457_path_0,40,DF,1,0.9999614968828868,0.9948023328757536,-0.005159164007133232
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_469_path_0,153,DF,1,0.9999955892755635,0.9999971389852362,1.5497096726990733e-06
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_469_path_0,186,AG,6,0.526168698062756,0.9316079603817238,0.40543926231896776
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_476_path_0,142,AG,6,0.5743150966285777,0.9879741363446064,0.4136590397160287
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_476_path_0,148,SS,7,0.07932063044657744,0.122533855130544,0.04321322468396656
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_476_path_0,197,DF,20,0.9999975703351712,0.9999999201660759,2.349830904635475e-06
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_51_path_0,134,SS,15,0.22965721117848253,0.07193344371261355,-0.15772376746586897
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_542_path_0,18,SS,6,0.1767778274296157,0.26117171268496636,0.08439388525535066
