model_source,model_eval,dataset,data_idx,cliff_position,taxonomy_type,cliff_token_id,cliff_token_str,source_rank,source_prob,source_logprob,eval_rank,eval_prob,eval_logprob,delta_rank,delta_prob
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,aime25,9_path_0,471,AG,11,",",1,0.6617939881046047,-0.41280096769332886,1,0.6499963206786005,-0.4307885766029358,0,-0.011797667426004188
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,aime25,9_path_0,471,AG,311, to,2,0.2434603880031717,-1.4128010272979736,2,0.21102292186010269,-1.555788516998291,0,-0.03243746614306903
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,aime25,9_path_0,471,AG,369, for,11,3.0045405949720553e-05,-10.412800788879395,8,0.0004073700723436919,-7.805788516998291,-3,0.00037732466639397137
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,aime25,9_path_0,471,AG,59060, $\,15,8.608152928206634e-06,-11.662800788879395,13,4.86533937232839e-05,-9.93078899383545,-2,4.0045240795077264e-05
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1010_path_0,22,SS,3284, possible,2,0.2894390710637226,-1.2398104667663574,6,0.004250297427895795,-5.460766315460205,4,-0.2851887736358268
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1010_path_0,22,SS,2561, available,3,0.03456856738950238,-3.3648104667663574,4,0.008997879725464208,-4.710766315460205,1,-0.025570687664038173
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1010_path_0,22,SS,813, his,9,0.0015188368508488525,-6.489810466766357,8,0.0029211838538656253,-5.835766315460205,-1,0.0014023470030167728
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1010_path_0,22,SS,279, the,13,0.0009212211171412131,-6.989810466766357,9,0.0022750202728860935,-6.085766315460205,-4,0.0013537991557448802
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1010_path_0,22,SS,304, in,17,0.00020555211738492344,-8.489810943603516,9,0.0022750202728860935,-6.085766315460205,-8,0.00206946815550117
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1010_path_0,22,SS,22034, awarded,19,0.0001327144216937089,-8.927310943603516,14,0.0005076256378299985,-7.585766315460205,-5,0.0003749112161362896
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,gsm1k,GSM1K_1022_path_0,39,AG,1283, He,1,0.38222221304575704,-0.9617531299591064,1,0.28759107074303164,-1.2462157011032104,0,-0.0946311423027254
