path_id,cliff_position,candidate_token_id
9_path_0,471,11
GSM1K_1010_path_0,22,3284
GSM1K_1022_path_0,39,1283
GSM1K_1093_path_0,160,33356
GSM1K_1130_path_0,24,8323
GSM1K_1130_path_0,37,578
GSM1K_114_path_0,50,21157
GSM1K_1161_path_0,206,304
GSM1K_1161_path_0,213,489
GSM1K_1161_path_0,227,4728
GSM1K_1195_path_0,17,11294
GSM1K_1195_path_0,127,696
GSM1K_1195_path_0,150,19867
GSM1K_13_path_0,72,4732
GSM1K_13_path_0,91,15535
GSM1K_13_path_0,126,611
GSM1K_142_path_0,335,2860
GSM1K_224_path_0,115,568
GSM1K_326_path_0,54,41
GSM1K_350_path_0,56,31946
GSM1K_350_path_0,70,6330
GSM1K_393_path_0,145,791
GSM1K_432_path_0,139,320
GSM1K_435_path_0,130,791
GSM1K_457_path_0,40,3090
GSM1K_469_path_0,153,400
GSM1K_469_path_0,186,56180
GSM1K_476_path_0,142,311
GSM1K_476_path_0,148,927
GSM1K_476_path_0,197,15
GSM1K_51_path_0,134,11458
GSM1K_542_path_0,18,2860
GSM1K_542_path_0,139,2860
GSM1K_54_path_0,113,220
GSM1K_592_path_0,126,8931
GSM1K_592_path_0,217,220
GSM1K_592_path_0,289,791
GSM1K_65_path_0,102,1457
GSM1K_65_path_0,128,4516
GSM1K_664_path_0,23,15039
GSM1K_696_path_0,21,502
GSM1K_696_path_0,209,1306
GSM1K_704_path_0,29,5097
GSM1K_704_path_0,122,4520
GSM1K_747_path_0,72,38897
GSM1K_775_path_0,203,279
GSM1K_775_path_0,249,220
GSM1K_778_path_0,319,13
GSM1K_859_path_0,47,1789
GSM1K_859_path_0,107,31001
GSM1K_865_path_0,53,6944
GSM1K_865_path_0,57,279
GSM1K_865_path_0,92,11486
GSM1K_940_path_0,29,279
GSM1K_940_path_0,130,1687
GSM1K_940_path_0,150,555
GSM1K_946_path_0,93,6835
test/algebra/1078.json_path_0,6,12
test/algebra/1143.json_path_0,288,220
test/algebra/1143.json_path_0,438,3214
test/algebra/1519.json_path_0,71,18
test/algebra/2036.json_path_0,23,67
test/algebra/2046.json_path_0,213,320
test/algebra/2193.json_path_0,55,1687
test/algebra/2486.json_path_0,325,18
test/algebra/2486.json_path_0,357,264
test/algebra/2486.json_path_0,661,90
test/algebra/2486.json_path_0,667,38118
test/algebra/2486.json_path_0,716,90
test/algebra/2486.json_path_0,724,23
test/algebra/2486.json_path_0,743,90
test/algebra/2486.json_path_0,760,11
test/algebra/2593.json_path_0,12,1176
test/algebra/2593.json_path_0,26,649
test/algebra/2593.json_path_0,66,2949
test/algebra/2593.json_path_0,89,26101
test/algebra/2780.json_path_0,8,18
test/algebra/2780.json_path_0,361,791
test/algebra/694.json_path_0,281,555
test/algebra/893.json_path_0,93,79205
test/counting_and_probability/10.json_path_0,392,12463
test/counting_and_probability/1009.json_path_0,67,1139
test/counting_and_probability/1009.json_path_0,234,636
test/counting_and_probability/1009.json_path_0,289,11458
test/counting_and_probability/216.json_path_0,47,18
test/counting_and_probability/216.json_path_0,59,271
test/counting_and_probability/25149.json_path_0,219,23
test/counting_and_probability/731.json_path_0,60,567
test/geometry/106.json_path_0,169,4250
test/geometry/178.json_path_0,97,362
test/geometry/178.json_path_0,165,11
test/geometry/178.json_path_0,297,36925
test/geometry/178.json_path_0,384,1101
test/geometry/615.json_path_0,165,362
test/geometry/615.json_path_0,311,6767
test/geometry/65.json_path_0,539,6767
test/intermediate_algebra/1126.json_path_0,31,17
test/intermediate_algebra/1126.json_path_0,94,4219
test/intermediate_algebra/1126.json_path_0,191,18
test/intermediate_algebra/1126.json_path_0,226,11
test/intermediate_algebra/1126.json_path_0,228,24524
test/intermediate_algebra/1151.json_path_0,2,220
test/intermediate_algebra/1151.json_path_0,78,315
test/intermediate_algebra/1151.json_path_0,361,482
test/intermediate_algebra/1151.json_path_0,834,17
test/intermediate_algebra/121.json_path_0,71,94084
test/intermediate_algebra/121.json_path_0,253,279
test/intermediate_algebra/1217.json_path_0,69,13244
test/intermediate_algebra/1217.json_path_0,86,50209
test/intermediate_algebra/1247.json_path_0,224,400
test/intermediate_algebra/1247.json_path_0,226,284
test/intermediate_algebra/1566.json_path_0,1685,220
test/intermediate_algebra/1572.json_path_0,102,1271
test/intermediate_algebra/1797.json_path_0,110,87
test/intermediate_algebra/1797.json_path_0,217,30876
test/intermediate_algebra/1797.json_path_0,320,7
test/intermediate_algebra/1981.json_path_0,282,17
test/intermediate_algebra/2152.json_path_0,463,2432
test/number_theory/1287.json_path_0,79,39130
test/number_theory/427.json_path_0,89,374
test/number_theory/427.json_path_0,332,22
test/number_theory/737.json_path_0,199,3575
test/number_theory/753.json_path_0,94,24
test/prealgebra/1297.json_path_0,122,323
test/prealgebra/1558.json_path_0,203,20374
test/prealgebra/1558.json_path_0,209,5525
test/prealgebra/2066.json_path_0,54,5451
test/prealgebra/2066.json_path_0,131,284
test/prealgebra/65.json_path_0,104,76016
test/prealgebra/805.json_path_0,390,66160
test/precalculus/1172.json_path_0,928,5298
test/precalculus/96.json_path_0,130,482
test/precalculus/96.json_path_0,194,408
test/precalculus/990.json_path_0,188,482
