model_source,model_eval,dataset,data_idx,cliff_position,taxonomy_type,n_cliff_tokens,cpm_source,cpm_eval,delta_cpm
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,gsm1k,GSM1K_209_path_0,169,SS,19,0.5857012572506347,0.9681397441712288,0.3824384869205941
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,gsm1k,GSM1K_704_path_0,71,SS,15,0.4233257497410124,0.7464427591959147,0.32311700945490235
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,gsm1k,GSM1K_704_path_0,73,AG,10,0.5036817420159596,0.007823973706678257,-0.49585776830928135
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/1072.json_path_0,278,DF,1,0.9999946356109105,0.9999855758836753,-9.059727235194437e-06
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/2023.json_path_0,7,AG,4,0.896372331969823,0.6218509190539232,-0.2745214129158998
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/2023.json_path_0,32,SS,7,0.3455182410516545,0.2611574596394794,-0.08436078141217512
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/2023.json_path_0,79,AG,4,0.3973113810952105,0.16529902202697913,-0.2320123590682314
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/2023.json_path_0,168,AG,5,0.3770353527156483,0.3215483575175331,-0.05548699519811523
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/2157.json_path_0,36,AG,1,0.41240020796165333,0.4278480532890182,0.015447845327364873
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/2232.json_path_0,92,SS,4,0.03720952580043479,0.007965268909316895,-0.02924425689111789
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/224.json_path_0,237,AG,13,0.4904354909637346,0.2955755995658104,-0.1948598913979242
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/2593.json_path_0,29,SS,8,0.026814085892496183,0.0015897000262014831,-0.025224385866294698
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/346.json_path_0,68,SS,12,0.17792848211987042,0.5681898949515107,0.3902614128316403
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/346.json_path_0,84,SS,5,0.2469056399473709,0.9148793593877916,0.6679737194404207
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/478.json_path_0,41,AG,2,0.6387581950162661,0.04930268037879332,-0.5894555146374727
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/478.json_path_0,177,SS,12,0.11695876417579269,0.0005028677309714552,-0.11645589644482124
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/algebra/694.json_path_0,37,DF,3,0.9992816327692641,0.9999638275541375,0.0006821947848734133
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/counting_and_probability/1009.json_path_0,50,SS,15,0.17836364318679246,0.0008138359030858639,-0.1775498072837066
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/counting_and_probability/1060.json_path_0,35,SS,16,0.3360483280393996,3.494320407457325e-05,-0.336013384835325
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/counting_and_probability/230.json_path_0,162,SS,10,0.34044818415348993,0.11214080208591745,-0.22830738206757248
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/counting_and_probability/230.json_path_0,164,SS,9,0.3458506810293278,0.03642805387795786,-0.3094226271513699
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/geometry/106.json_path_0,167,SS,10,0.0375311545558423,0.00038195738895000354,-0.037149197166892294
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/geometry/106.json_path_0,197,SS,3,0.2984125670329332,0.00873050777858058,-0.2896820592543526
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/geometry/106.json_path_0,198,AG,4,0.529471438400196,0.0041877181446609065,-0.525283720255535
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/geometry/178.json_path_0,184,SS,6,0.31425591594464813,0.09600062184390204,-0.2182552941007461
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/geometry/178.json_path_0,236,SS,1,0.3326611087603882,0.3232221591769205,-0.009438949583467693
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/geometry/178.json_path_0,609,SS,5,0.1192176148616805,0.2689306010656174,0.1497129862039369
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/geometry/615.json_path_0,144,SS,12,0.3173018999568855,0.0380783323906848,-0.2792235675662007
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/geometry/615.json_path_0,164,SS,8,0.1832473605564968,0.22355591970420438,0.04030855914770759
Llama-3.2-1B-Instruct,Llama-3.1-8B-Instruct,math500,test/geometry/65.json_path_0,485,SS,13,0.37773820890443155,0.407262769781735,0.02952456087730343
