model_source,model_eval,dataset,data_idx,cliff_position,taxonomy_type,cliff_token_id,cliff_token_str,source_rank,source_prob,source_logprob,eval_rank,eval_prob,eval_logprob,delta_rank,delta_prob
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,488, +,1,0.9890045471818927,-0.011056349612772465,1,0.9895082918919401,-0.010547134093940258,0,0.0005037447100474379
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,41715,+\,4,6.404748732036001e-07,-14.261055946350098,10,1.4584566399929731e-05,-11.135546684265137,6,1.3944091526726132e-05
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,92952,+z,5,2.6698964919698935e-07,-15.136055946350098,21,0.0,-1000000000.0,16,-2.6698964919698935e-07
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,37892,+x,9,4.63957999549079e-08,-16.886056900024414,9,1.8726953948879806e-05,-10.885546684265137,0,1.86805581489249e-05
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,1124, \,11,3.6133085336106525e-08,-17.136056900024414,13,1.1358471733022176e-05,-11.385546684265137,2,1.132233864768607e-05
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,379, y,12,3.188733588993887e-08,-17.261056900024414,18,4.448041441100856e-06,-12.323046684265137,6,4.416154105210917e-06
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,12034,-y,12,3.188733588993887e-08,-17.261056900024414,12,1.2870834673477352e-05,-11.260546684265137,0,1.2838947337587412e-05
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,49138,+c,14,2.8140475154545656e-08,-17.386056900024414,21,0.0,-1000000000.0,7,-2.8140475154545656e-08
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,26491,/y,17,1.9340646873802958e-08,-17.761056900024414,21,0.0,-1000000000.0,4,-1.9340646873802958e-08
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,61,^,19,1.3292619241246906e-08,-18.136056900024414,21,0.0,-1000000000.0,2,-1.3292619241246906e-08
Qwen3-8B,Qwen3-0.6B,aime25,21_path_0,545,AG,3,$,1,0.9687584206587951,-0.03174000605940819,1,0.9029171742944468,-0.10212445259094238,0,-0.0658412463643483
Qwen3-8B,Qwen3-0.6B,aime25,21_path_0,1404,AG,582, we,1,0.34171033942668416,-1.0737918615341187,1,0.4499525836475528,-0.7986130714416504,0,0.10824224422086864
Qwen3-8B,Qwen3-0.6B,aime25,21_path_0,1404,AG,432, it,7,0.013249546139709446,-4.323791980743408,11,0.007272806150718473,-4.92361307144165,4,-0.005976739988990973
Qwen3-8B,Qwen3-0.6B,aime25,21_path_0,1632,DF,481, -,1,0.9999994039539004,-5.960462772236497e-07,1,0.9998491038195524,-0.00015090756642166525,0,-0.0001503001343480248
Qwen3-8B,Qwen3-0.6B,aime25,21_path_0,1632,DF,379, y,2,5.715002286213223e-07,-14.375000953674316,2,0.00010889236065890132,-9.125150680541992,0,0.00010832086043028
Qwen3-8B,Qwen3-0.6B,aime25,21_path_0,1632,DF,488, +,7,1.2378189627675852e-10,-22.8125,18,6.411094873278062e-08,-16.562650680541992,11,6.398716683650386e-08
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3192,DF,356, C,1,0.9999870063564401,-1.2993727978027891e-05,1,0.996516484101405,-0.0034895974677056074,0,-0.00347052225503508
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3192,DF,468, E,2,1.3007123989067183e-05,-11.25001335144043,3,0.00013935450243118466,-8.87848949432373,1,0.00012634737844211748
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3192,DF,386, M,3,2.8452968199188003e-08,-17.37501335144043,6,1.664352186668818e-05,-11.00348949432373,3,1.661506889848899e-05
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3192,DF,451, N,4,7.194036978928e-09,-18.75001335144043,2,0.003171693856144378,-5.7534894943237305,-2,0.0031716866621073992
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3192,DF,479, G,5,1.2501361751566453e-09,-20.50001335144043,9,1.3661834695239286e-06,-13.50348949432373,4,1.364933333348772e-06
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3192,DF,422, D,6,1.1032413023846926e-09,-20.62501335144043,8,4.768448851453629e-06,-12.25348949432373,2,4.767345610151244e-06
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3192,DF,434, F,9,2.1724109300702664e-10,-22.25001335144043,7,1.009480629774402e-05,-11.50348949432373,-2,1.0094589056651013e-05
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3192,DF,444, L,19,2.9400384852737274e-11,-24.25001335144043,17,1.1214306126785667e-07,-16.003490447998047,-2,1.1211366088300393e-07
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3757,AG,1124, \,1,0.6513535205414268,-0.4287027418613434,2,0.014063123574895104,-4.264199256896973,1,-0.6372903969665317
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3757,AG,28152, {\,3,1.146608212025591e-06,-13.678702354431152,9,6.796422658092763e-07,-14.201699256896973,6,-4.669659462163148e-07
