path_id,cliff_position,candidate_token_id
16_path_0,263,488
21_path_0,545,3
21_path_0,1404,582
21_path_0,1632,481
2_path_0,3192,356
2_path_0,3757,1124
4_path_0,681,14085
8_path_0,46,595
8_path_0,330,595
GSM1K_1010_path_0,253,594
GSM1K_1116_path_0,236,25
GSM1K_114_path_0,275,5655
GSM1K_13_path_0,247,6771
GSM1K_13_path_0,665,16
GSM1K_318_path_0,11,14374
GSM1K_859_path_0,128,3070
GSM1K_859_path_0,167,4115
GSM1K_859_path_0,225,220
test/algebra/1547.json_path_0,232,81
test/algebra/2023.json_path_0,387,7
test/algebra/2780.json_path_0,316,17
test/counting_and_probability/1003.json_path_0,143,532
test/counting_and_probability/1003.json_path_0,240,702
test/counting_and_probability/1003.json_path_0,315,9547
test/counting_and_probability/1003.json_path_0,359,12
test/counting_and_probability/1003.json_path_0,498,1741
test/counting_and_probability/1003.json_path_0,784,4416
test/counting_and_probability/1003.json_path_0,1160,14085
test/counting_and_probability/1003.json_path_0,1265,90
test/counting_and_probability/1003.json_path_0,1459,400
test/geometry/465.json_path_0,1556,90
test/geometry/465.json_path_0,1711,13
test/geometry/65.json_path_0,412,4416
test/geometry/65.json_path_0,460,1124
test/geometry/65.json_path_0,853,582
test/geometry/686.json_path_0,88,766
test/geometry/795.json_path_0,513,45195
test/intermediate_algebra/1063.json_path_0,705,14085
test/intermediate_algebra/1354.json_path_0,414,14085
test/intermediate_algebra/1981.json_path_0,373,220
test/intermediate_algebra/2152.json_path_0,91,334
test/intermediate_algebra/232.json_path_0,381,419
test/intermediate_algebra/955.json_path_0,166,279
test/intermediate_algebra/955.json_path_0,326,315
test/intermediate_algebra/955.json_path_0,337,400
test/intermediate_algebra/955.json_path_0,503,15170
test/intermediate_algebra/955.json_path_0,1208,11
test/intermediate_algebra/955.json_path_0,1543,22477
test/intermediate_algebra/955.json_path_0,1623,15170
test/intermediate_algebra/955.json_path_0,1663,323
test/intermediate_algebra/955.json_path_0,1746,284
test/number_theory/516.json_path_0,125,481
test/number_theory/737.json_path_0,125,315
test/number_theory/737.json_path_0,518,220
test/number_theory/737.json_path_0,535,17
test/number_theory/737.json_path_0,545,220
test/number_theory/737.json_path_0,551,17
test/number_theory/737.json_path_0,555,14085
test/number_theory/737.json_path_0,559,4057
test/number_theory/737.json_path_0,566,432
test/number_theory/737.json_path_0,574,279
test/number_theory/737.json_path_0,578,41214
test/number_theory/737.json_path_0,580,315
test/number_theory/737.json_path_0,582,17
test/number_theory/737.json_path_0,586,510
test/number_theory/737.json_path_0,589,16
test/number_theory/737.json_path_0,594,220
test/number_theory/737.json_path_0,597,220
test/number_theory/737.json_path_0,604,220
test/number_theory/737.json_path_0,609,17
test/number_theory/737.json_path_0,613,17
test/number_theory/737.json_path_0,617,19
test/number_theory/737.json_path_0,627,15
test/number_theory/737.json_path_0,633,14822
test/number_theory/737.json_path_0,639,6169
test/number_theory/737.json_path_0,641,41214
test/number_theory/737.json_path_0,642,315
test/number_theory/737.json_path_0,644,17
test/number_theory/737.json_path_0,651,488
test/number_theory/737.json_path_0,656,19
test/number_theory/737.json_path_0,678,19
test/number_theory/737.json_path_0,691,17
test/number_theory/737.json_path_0,692,18
test/number_theory/753.json_path_0,78,16
test/number_theory/753.json_path_0,141,64
test/precalculus/1172.json_path_0,708,14806
test/precalculus/1172.json_path_0,963,14085
test/precalculus/1172.json_path_0,1109,91
test/precalculus/1313.json_path_0,544,18
test/precalculus/1313.json_path_0,562,22
test/precalculus/1313.json_path_0,683,13
test/precalculus/1313.json_path_0,1278,2212
test/precalculus/285.json_path_0,923,16
test/precalculus/285.json_path_0,1025,4416
test/precalculus/681.json_path_0,68,44364
test/precalculus/990.json_path_0,103,11
