model_source,model_eval,dataset,data_idx,cliff_position,taxonomy_type,n_cliff_tokens,cpm_source,cpm_eval,delta_cpm
Qwen3-0.6B,Qwen3-8B,aime25,1_path_0,284,DF,4,0.9997248333786961,0.9999993225993248,0.00027448922062867087
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,319,SS,2,0.3957842650749085,0.022443931707680227,-0.37334033336722827
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,340,DF,3,0.9999986169388837,0.9999998945472227,1.2776083390120263e-06
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,436,AG,2,0.904613766232311,0.9947605721187883,0.09014680588647728
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,10,0.4581696787999385,0.14918829897847896,-0.3089813798214595
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,248,DF,18,1.0000000268561158,1.0000000036017809,-2.3254334902134133e-08
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,289,AG,1,0.440372621376874,0.029605286609581904,-0.4107673347672921
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1130_path_0,39,AG,1,0.7556350059647999,0.5381117709343164,-0.21752323503048354
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_114_path_0,53,AG,16,0.5962363936201844,3.537351857841307e-05,-0.596201020101606
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_114_path_0,60,AG,1,0.5084966500792155,0.00022827397874651575,-0.508268376100469
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1161_path_0,188,AG,2,0.4999802753836906,7.74934834253193e-08,-0.4999801978902072
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1161_path_0,269,AG,13,0.5060180062356956,5.243418704132249e-08,-0.5060179538015086
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_186_path_0,32,SS,13,0.3378852601609187,0.8519528727671418,0.5140676126062231
