model_source,model_eval,dataset,data_idx,cliff_position,taxonomy_type,cliff_token_id,cliff_token_str,source_rank,source_prob,source_logprob,eval_rank,eval_prob,eval_logprob,delta_rank,delta_prob
Qwen3-0.6B,Qwen3-8B,aime25,1_path_0,284,DF,22,7,1,0.9996276097081689,-0.00037245964631438255,1,0.9999990463265931,-9.536738616588991e-07,0,0.0003714366184242035
Qwen3-0.6B,Qwen3-8B,aime25,1_path_0,284,DF,21,6,3,6.603188103001066e-05,-9.625372886657715,3,1.6373755690670415e-07,-15.625000953674316,0,-6.586814347310395e-05
Qwen3-0.6B,Qwen3-8B,aime25,1_path_0,284,DF,23,8,6,3.1191252013150935e-05,-10.375372886657715,4,1.1253517471925912e-07,-16.0,-2,-3.1078716838431675e-05
Qwen3-0.6B,Qwen3-8B,aime25,1_path_0,284,DF,91,|,20,5.374841025671416e-10,-21.3441219329834,21,0.0,-1000000000.0,1,-5.374841025671416e-10
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,319,SS,1849, system,2,0.39021810343551644,-0.9410494565963745,17,0.0045294821781188335,-5.3971476554870605,15,-0.3856886212573976
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,319,SS,23606, equation,7,0.005566161639392058,-5.191049575805664,13,0.017914449529561394,-4.0221476554870605,6,0.012348287890169335
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,340,DF,19,4,1,0.9999984502816872,-1.5497195136049413e-06,1,0.9999998807907247,-1.1920928244535389e-07,0,1.4305090374477913e-06
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,340,DF,20,5,5,1.4449774900307763e-07,-15.750001907348633,4,1.3440409951135022e-08,-18.125,-1,-1.3105733905194262e-07
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,340,DF,24,9,8,2.2159447507533765e-08,-17.625001907348633,9,3.1608814543136926e-10,-21.875,1,-2.1843359362102394e-08
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,436,AG,96065,{(,1,0.9046135368205542,-0.10024745762348175,1,0.9947605721187883,-0.005253201816231012,0,0.09014703529823409
Qwen3-0.6B,Qwen3-8B,aime25,9_path_0,436,AG,320, (,18,2.2941175685247855e-07,-15.287747383117676,21,0.0,-1000000000.0,3,-2.2941175685247855e-07
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,3501, points,2,0.2592823489213335,-1.3498376607894897,3,0.08712415536819376,-2.4404211044311523,1,-0.17215819355313974
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,11972, grade,3,0.1782019785933725,-1.7248376607894897,4,0.059879497908278505,-2.8154211044311523,1,-0.11832248068509399
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,5456, score,5,0.014627707423854311,-4.224837779998779,21,0.0,-1000000000.0,16,-0.014627707423854311
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,304, in,8,0.0032638827000889886,-5.724837779998779,21,0.0,-1000000000.0,13,-0.0032638827000889886
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,27611, grades,10,0.0007282706695765455,-7.224837779998779,20,2.0087333725794066e-05,-10.815421104431152,10,-0.0007081833358507514
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,15303, earned,11,0.0006426966101445108,-7.349837779998779,7,0.0020489637438686325,-6.190421104431152,-4,0.0014062671337241217
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,8722, gain,14,0.0005005326232578824,-7.599837779998779,21,0.0,-1000000000.0,7,-0.0005005326232578824
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,369, for,15,0.0004149561192800048,-7.787337779998779,21,0.0,-1000000000.0,6,-0.0004149561192800048
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,315, of,17,0.00028519502794140935,-8.162337303161621,11,0.0001155946244122747,-9.065421104431152,-6,-0.00016960040352913464
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,207,SS,11414, percentage,18,0.00022211011108884082,-8.412337303161621,21,0.0,-1000000000.0,3,-0.00022211011108884082
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,248,DF,18,3,1,0.9998253888875104,-0.0001746263587847352,1,0.9999990463265931,-9.536738616588991e-07,0,0.00017365743908270836
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,248,DF,19,4,2,7.483876770656626e-05,-9.500174522399902,3,1.3440409951135022e-08,-18.125,1,-7.482532729661513e-05
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,248,DF,1124, \,3,6.604498069429278e-05,-9.625174522399902,4,1.2501528663867426e-09,-20.5,1,-6.604373054142639e-05
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,248,DF,198,"
",4,1.3005027787341845e-05,-11.250174522399902,11,1.898256859952468e-11,-24.6875,7,-1.3005008804773246e-05
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,248,DF,17,2,5,1.0128325824647207e-05,-11.500174522399902,5,2.4616969518153846e-10,-22.125,0,-1.0128079654952026e-05
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,248,DF,59,\,6,6.9610897513817585e-06,-11.875174522399902,2,9.422445831379603e-07,-13.875000953674316,-4,-6.018845168243798e-06
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_1010_path_0,248,DF,15,0,7,1.3707198441913287e-06,-13.500174522399902,20,2.000748010582296e-12,-26.9375,13,-1.370717843443318e-06
