path_id,cliff_position,candidate_token_id
1_path_0,284,22
9_path_0,319,1849
9_path_0,340,19
9_path_0,436,96065
GSM1K_1010_path_0,207,3501
GSM1K_1010_path_0,248,18
GSM1K_1010_path_0,289,4416
GSM1K_1130_path_0,39,11047
GSM1K_114_path_0,53,16639
GSM1K_114_path_0,60,32819
GSM1K_1161_path_0,188,18
GSM1K_1161_path_0,269,18
GSM1K_186_path_0,32,22
GSM1K_186_path_0,35,46695
GSM1K_198_path_0,265,18
GSM1K_198_path_0,272,16
GSM1K_255_path_0,86,18
GSM1K_326_path_0,26,97219
GSM1K_326_path_0,27,2474
GSM1K_334_path_0,64,400
GSM1K_334_path_0,78,220
GSM1K_393_path_0,272,1519
GSM1K_393_path_0,280,1817
GSM1K_407_path_0,102,334
GSM1K_440_path_0,116,14085
GSM1K_440_path_0,121,54745
GSM1K_447_path_0,67,220
GSM1K_447_path_0,77,12644
GSM1K_447_path_0,161,1124
GSM1K_451_path_0,172,1654
GSM1K_451_path_0,357,271
GSM1K_451_path_0,371,1124
GSM1K_538_path_0,193,2619
GSM1K_538_path_0,203,400
GSM1K_541_path_0,105,22955
GSM1K_541_path_0,156,2790
GSM1K_541_path_0,159,702
GSM1K_54_path_0,137,279
GSM1K_54_path_0,138,2783
GSM1K_552_path_0,260,334
GSM1K_592_path_0,149,90
GSM1K_592_path_0,150,26292
GSM1K_592_path_0,208,1462
GSM1K_65_path_0,54,3070
GSM1K_664_path_0,32,22204
GSM1K_747_path_0,57,311
GSM1K_758_path_0,72,56177
GSM1K_758_path_0,183,6771
GSM1K_775_path_0,101,334
GSM1K_817_path_0,77,3882
GSM1K_817_path_0,87,92
GSM1K_817_path_0,148,4416
test/algebra/1072.json_path_0,124,90
test/algebra/1078.json_path_0,255,19
test/algebra/1143.json_path_0,407,59
test/algebra/224.json_path_0,14,67901
test/algebra/224.json_path_0,29,20
test/algebra/2593.json_path_0,116,198
test/algebra/893.json_path_0,19,19
test/algebra/893.json_path_0,192,18
test/algebra/893.json_path_0,273,15
test/algebra/893.json_path_0,290,61
test/geometry/283.json_path_0,580,1124
test/geometry/283.json_path_0,583,23
test/geometry/465.json_path_0,1555,488
test/geometry/465.json_path_0,1618,366
test/geometry/65.json_path_0,359,518
test/geometry/65.json_path_0,363,44364
test/geometry/65.json_path_0,440,382
test/geometry/795.json_path_0,81,11
test/geometry/795.json_path_0,193,13173
test/geometry/795.json_path_0,287,1378
test/geometry/795.json_path_0,300,431
test/intermediate_algebra/1126.json_path_0,187,400
test/intermediate_algebra/1126.json_path_0,493,17
test/intermediate_algebra/1126.json_path_0,693,9645
test/intermediate_algebra/1126.json_path_0,1135,23
test/intermediate_algebra/1151.json_path_0,224,820
test/intermediate_algebra/1151.json_path_0,443,3417
test/intermediate_algebra/121.json_path_0,1271,11
test/intermediate_algebra/1247.json_path_0,168,1124
test/intermediate_algebra/128.json_path_0,133,2075
test/intermediate_algebra/128.json_path_0,569,1019
test/intermediate_algebra/134.json_path_0,240,12549
test/intermediate_algebra/1566.json_path_0,251,518
test/intermediate_algebra/1566.json_path_0,294,315
test/intermediate_algebra/1779.json_path_0,236,417
test/intermediate_algebra/1779.json_path_0,832,16
test/intermediate_algebra/1797.json_path_0,440,88
test/intermediate_algebra/1797.json_path_0,523,19
test/intermediate_algebra/1797.json_path_0,748,264
test/intermediate_algebra/1797.json_path_0,939,1654
test/intermediate_algebra/1797.json_path_0,941,1730
test/intermediate_algebra/1797.json_path_0,946,284
test/intermediate_algebra/2152.json_path_0,2,525
test/number_theory/1032.json_path_0,215,17
test/number_theory/1032.json_path_0,310,1779
test/number_theory/1032.json_path_0,409,284
test/number_theory/1032.json_path_0,471,17
test/number_theory/1287.json_path_0,224,1985
test/prealgebra/1247.json_path_0,130,18611
test/prealgebra/1247.json_path_0,219,1654
test/prealgebra/1730.json_path_0,472,284
test/prealgebra/1730.json_path_0,612,1447
test/prealgebra/1807.json_path_0,93,323
test/prealgebra/1807.json_path_0,96,1105
test/prealgebra/1807.json_path_0,104,9664
test/prealgebra/1807.json_path_0,127,284
test/prealgebra/1807.json_path_0,221,374
test/prealgebra/1807.json_path_0,235,14085
test/prealgebra/1807.json_path_0,372,334
test/prealgebra/1807.json_path_0,561,477
test/prealgebra/1840.json_path_0,15,6088
test/prealgebra/2066.json_path_0,87,7941
test/precalculus/1313.json_path_0,208,18
test/precalculus/1313.json_path_0,495,43298
test/precalculus/285.json_path_0,262,284
test/precalculus/285.json_path_0,330,24437
test/precalculus/285.json_path_0,371,329
test/precalculus/285.json_path_0,446,488
test/precalculus/285.json_path_0,502,284
test/precalculus/285.json_path_0,746,400
test/precalculus/681.json_path_0,140,15940
test/precalculus/990.json_path_0,509,488
