model,dataset,k,cliff_del_pass_at_k,cliff_keep_pass_at_k,n_failure,n_total_cliffs
Qwen3-8B,gsm1k,1,0.4152,0.2612,7,9
Qwen3-8B,gsm1k,2,0.6502,0.4170,7,9
Qwen3-8B,gsm1k,4,0.8640,0.5710,7,9
Qwen3-8B,gsm1k,8,0.9718,0.6660,7,9
Qwen3-8B,gsm1k,16,0.9983,0.7054,7,9
Qwen3-8B,gsm1k,32,1.0000,0.7141,7,9
Qwen3-8B,gsm1k,64,1.0000,0.7143,7,9
Qwen3-8B,math500,1,0.4716,0.4162,61,78
Qwen3-8B,math500,2,0.6975,0.6277,61,78
Qwen3-8B,math500,4,0.8839,0.8150,61,78
Qwen3-8B,math500,8,0.9760,0.9164,61,78
Qwen3-8B,math500,16,0.9982,0.9448,61,78
Qwen3-8B,math500,32,1.0000,0.9503,61,78
Qwen3-8B,math500,64,1.0000,0.9508,61,78
Qwen3-8B,aime25,1,0.2719,0.1000,5,9
Qwen3-8B,aime25,2,0.4712,0.1803,5,9
Qwen3-8B,aime25,4,0.7235,0.2970,5,9
Qwen3-8B,aime25,8,0.9274,0.4264,5,9
Qwen3-8B,aime25,16,0.9960,0.5342,5,9
Qwen3-8B,aime25,32,1.0000,0.6508,5,9
Qwen3-8B,aime25,64,1.0000,0.8000,5,9
Qwen3-4B,gsm1k,1,0.4082,0.2480,8,14
Qwen3-4B,gsm1k,2,0.6394,0.3958,8,14
Qwen3-4B,gsm1k,4,0.8533,0.5485,8,14
Qwen3-4B,gsm1k,8,0.9669,0.6589,8,14
Qwen3-4B,gsm1k,16,0.9972,0.7332,8,14
Qwen3-4B,gsm1k,32,1.0000,0.8135,8,14
Qwen3-4B,gsm1k,64,1.0000,0.8750,8,14
Qwen3-4B,math500,1,0.4945,0.3674,31,49
Qwen3-4B,math500,2,0.7069,0.5514,31,49
Qwen3-4B,math500,4,0.8732,0.7115,31,49
Qwen3-4B,math500,8,0.9641,0.8083,31,49
Qwen3-4B,math500,16,0.9953,0.8598,31,49
Qwen3-4B,math500,32,0.9999,0.8857,31,49
Qwen3-4B,math500,64,1.0000,0.9032,31,49
Qwen3-4B,aime25,1,0.4688,0.3438,7,9
Qwen3-4B,aime25,2,0.6725,0.5363,7,9
Qwen3-4B,aime25,4,0.8473,0.7133,7,9
Qwen3-4B,aime25,8,0.9550,0.8132,7,9
Qwen3-4B,aime25,16,0.9950,0.8507,7,9
Qwen3-4B,aime25,32,1.0000,0.8571,7,9
Qwen3-4B,aime25,64,1.0000,0.8571,7,9
Qwen3-0.6B,gsm1k,1,0.5160,0.2797,41,48
Qwen3-0.6B,gsm1k,2,0.7319,0.4315,41,48
Qwen3-0.6B,gsm1k,4,0.9012,0.5880,41,48
Qwen3-0.6B,gsm1k,8,0.9820,0.7176,41,48
Qwen3-0.6B,gsm1k,16,0.9993,0.8035,41,48
Qwen3-0.6B,gsm1k,32,1.0000,0.8466,41,48
Qwen3-0.6B,gsm1k,64,1.0000,0.8780,41,48
Qwen3-0.6B,math500,1,0.4730,0.3725,51,72
Qwen3-0.6B,math500,2,0.6863,0.5565,51,72
Qwen3-0.6B,math500,4,0.8616,0.7159,51,72
Qwen3-0.6B,math500,8,0.9563,0.8052,51,72
Qwen3-0.6B,math500,16,0.9918,0.8425,51,72
Qwen3-0.6B,math500,32,0.9997,0.8573,51,72
Qwen3-0.6B,math500,64,1.0000,0.8627,51,72
Qwen3-0.6B,aime25,1,0.3438,0.3906,1,4
Qwen3-0.6B,aime25,2,0.5729,0.6324,1,4
Qwen3-0.6B,aime25,4,0.8238,0.8705,1,4
Qwen3-0.6B,aime25,8,0.9733,0.9861,1,4
Qwen3-0.6B,aime25,16,0.9997,0.9999,1,4
Qwen3-0.6B,aime25,32,1.0000,1.0000,1,4
Qwen3-0.6B,aime25,64,1.0000,1.0000,1,4
Llama-3.1-8B-Instruct,gsm1k,1,0.5720,0.2595,28,56
Llama-3.1-8B-Instruct,gsm1k,2,0.7555,0.3964,28,56
Llama-3.1-8B-Instruct,gsm1k,4,0.8921,0.5275,28,56
Llama-3.1-8B-Instruct,gsm1k,8,0.9690,0.6266,28,56
Llama-3.1-8B-Instruct,gsm1k,16,0.9961,0.6939,28,56
Llama-3.1-8B-Instruct,gsm1k,32,1.0000,0.7400,28,56
Llama-3.1-8B-Instruct,gsm1k,64,1.0000,0.7857,28,56
Llama-3.1-8B-Instruct,math500,1,0.5373,0.2528,44,77
Llama-3.1-8B-Instruct,math500,2,0.7421,0.3963,44,77
Llama-3.1-8B-Instruct,math500,4,0.8958,0.5449,44,77
Llama-3.1-8B-Instruct,math500,8,0.9717,0.6703,44,77
Llama-3.1-8B-Instruct,math500,16,0.9939,0.7681,44,77
Llama-3.1-8B-Instruct,math500,32,0.9994,0.8287,44,77
Llama-3.1-8B-Instruct,math500,64,1.0000,0.8636,44,77
Llama-3.2-3B-Instruct,gsm1k,1,0.5515,0.2367,27,44
Llama-3.2-3B-Instruct,gsm1k,2,0.7518,0.3621,27,44
Llama-3.2-3B-Instruct,gsm1k,4,0.8961,0.4851,27,44
Llama-3.2-3B-Instruct,gsm1k,8,0.9655,0.5817,27,44
