cliff_uid,model,taxonomy_type,cell_label,sum_p_cliff
aime25::9_path_0::429,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.9999157889214435
aime25::9_path_0::535,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.6791756729586486
aime25::9_path_0::800,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.3271933058260481
gsm1k::GSM1K_1022_path_0::35,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.19410288747056798
gsm1k::GSM1K_1034_path_0::145,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.10830622647117435
gsm1k::GSM1K_1098_path_0::34,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.19829189035077363
gsm1k::GSM1K_1161_path_0::65,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.42110537236687834
gsm1k::GSM1K_1182_path_0::202,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.19223147512379976
gsm1k::GSM1K_1182_path_0::94,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.9769844035532649
gsm1k::GSM1K_178_path_0::16,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.9999999896674634
gsm1k::GSM1K_178_path_0::26,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.7614918526332627
gsm1k::GSM1K_318_path_0::100,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.9752410428405291
gsm1k::GSM1K_318_path_0::248,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.9999875020575589
gsm1k::GSM1K_318_path_0::262,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.9956513476730227
gsm1k::GSM1K_318_path_0::310,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.3694605889957096
gsm1k::GSM1K_318_path_0::333,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.015712565077732256
gsm1k::GSM1K_318_path_0::43,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.9999401011895788
gsm1k::GSM1K_334_path_0::73,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.41764429157494337
gsm1k::GSM1K_334_path_0::80,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.7199650011390005
gsm1k::GSM1K_393_path_0::17,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.438633196685727
gsm1k::GSM1K_407_path_0::238,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.4305834965260075
gsm1k::GSM1K_447_path_0::273,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.999979258013377
gsm1k::GSM1K_449_path_0::138,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.4056384759215197
gsm1k::GSM1K_449_path_0::554,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.5623214629743328
gsm1k::GSM1K_451_path_0::78,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.30595313202394664
gsm1k::GSM1K_451_path_0::88,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.15880711963281582
gsm1k::GSM1K_476_path_0::136,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.566268691911999
gsm1k::GSM1K_476_path_0::181,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.28036818744939734
gsm1k::GSM1K_476_path_0::42,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.9888361906917891
gsm1k::GSM1K_538_path_0::249,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.554050481315324
gsm1k::GSM1K_541_path_0::76,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.10671076621757988
gsm1k::GSM1K_541_path_0::78,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.4850184194401112
gsm1k::GSM1K_542_path_0::65,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.3904556917450678
gsm1k::GSM1K_563_path_0::142,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.26914112135983376
gsm1k::GSM1K_569_path_0::144,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.8348657198755879
gsm1k::GSM1K_592_path_0::24,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.22160469511624548
gsm1k::GSM1K_592_path_0::390,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.24827421656417006
gsm1k::GSM1K_592_path_0::5,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.29695718041979546
gsm1k::GSM1K_664_path_0::133,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.20184886185404521
gsm1k::GSM1K_727_path_0::97,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.9999982118638471
gsm1k::GSM1K_747_path_0::27,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.42057385451525614
gsm1k::GSM1K_775_path_0::67,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.2655337223428282
gsm1k::GSM1K_859_path_0::240,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.40735254843657154
gsm1k::GSM1K_865_path_0::31,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.20428903880229318
gsm1k::GSM1K_865_path_0::77,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.49699365628763015
gsm1k::GSM1K_919_path_0::81,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.4386582684399758
gsm1k::GSM1K_940_path_0::43,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.7342180316050468
math500::test/algebra/1078.json_path_0::598,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.7310150270541408
math500::test/algebra/1143.json_path_0::238,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.7309879598649269
math500::test/algebra/1143.json_path_0::334,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.27450229989800434
math500::test/algebra/1143.json_path_0::468,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.03704232222713195
math500::test/algebra/1547.json_path_0::165,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.018140282542138914
math500::test/algebra/1934.json_path_0::249,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.3840822880815809
math500::test/algebra/2046.json_path_0::55,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.05890547801393758
math500::test/algebra/2193.json_path_0::202,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.01406370138497544
math500::test/algebra/2470.json_path_0::195,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.08336405328422569
math500::test/algebra/2470.json_path_0::205,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.5312046374100422
math500::test/algebra/2470.json_path_0::224,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.612138646695968
math500::test/algebra/2486.json_path_0::406,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.35629772099790524
math500::test/algebra/2780.json_path_0::107,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.26779269726417215
math500::test/algebra/2780.json_path_0::128,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.9999309998390428
math500::test/algebra/893.json_path_0::122,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.20799748934751552
math500::test/algebra/893.json_path_0::229,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.1645732287177555
math500::test/counting_and_probability/230.json_path_0::355,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.4378631541538363
math500::test/geometry/615.json_path_0::267,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.13097349420443416
math500::test/geometry/615.json_path_0::27,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.9821910056999013
math500::test/geometry/615.json_path_0::60,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.9999994088983509
math500::test/geometry/686.json_path_0::239,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.9849742730061096
math500::test/geometry/686.json_path_0::742,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.1316700602909725
math500::test/intermediate_algebra/1151.json_path_0::41,Llama-3.2-3B-Instruct,DF,low-H + greedy,1.000000001528372
math500::test/intermediate_algebra/128.json_path_0::148,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.7603497356811445
math500::test/intermediate_algebra/128.json_path_0::330,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.49254136539216287
math500::test/intermediate_algebra/1797.json_path_0::123,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.9999943297100204
math500::test/intermediate_algebra/1797.json_path_0::334,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.33388123722053276
math500::test/intermediate_algebra/1797.json_path_0::339,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.9995705854150987
math500::test/intermediate_algebra/1981.json_path_0::221,Llama-3.2-3B-Instruct,DF,low-H + greedy,0.9999545272386203
math500::test/intermediate_algebra/1981.json_path_0::396,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.29114781251069966
math500::test/intermediate_algebra/1981.json_path_0::77,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.9353654443020049
math500::test/intermediate_algebra/446.json_path_0::156,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.4076396084589581
math500::test/intermediate_algebra/446.json_path_0::210,Llama-3.2-3B-Instruct,SS,high-H + non-greedy,0.08837861138345902
math500::test/number_theory/1032.json_path_0::108,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.7340072118692548
math500::test/number_theory/1032.json_path_0::128,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.3500224838335855
math500::test/number_theory/847.json_path_0::242,Llama-3.2-3B-Instruct,AG,high-H + greedy,0.5302945590178714
